Experiment ID,Bee ID,Cap,Trail Time,Date/Time
1,69,NO CHOICE,5.43,2018-11-12 15:27
1,69,NO CHOICE,5.32,2018-11-12 23:49
1,28,NO CHOICE,5.78,2018-11-14 14:25
1,28,NO CHOICE,5.46,2018-11-14 14:29
1,28,NO CHOICE,4.86,2018-11-14 14:30
1,70,NO CHOICE,5.46,2018-11-14 14:42
1,0,NO CHOICE,5.87,2018-11-14 14:45
1,44,NO CHOICE,5.46,2018-11-14 15:01
1,89,,4.83,2018-11-28 11:36
1,12,STUPID,5.50,2018-11-28 11:36
1,28,NO CHOICE,3.95,2018-12-03 01:19
1,fast,NO CHOICE,3.87,2018-12-03 01:33
1,new,NO CHOICE,3.97,2018-12-03 03:28
1,new,NO CHOICE,3.97,2018-12-03 03:30
1,new2,NO CHOICE,3.94,2018-12-03 03:33
1,tester,NO CHOICE,3.84,2018-12-03 03:35
1,gonna work,NO CHOICE,4.02,2018-12-03 03:35
1,66,NO CHOICE,3.92,2018-12-03 03:37
1,99,NO CHOICE,3.94,2018-12-03 04:27
1,55,NO CHOICE,3.65,2018-12-03 05:39
1,25,NO CHOICE,3.70,2018-12-03 05:44
1,"""beetest""",NO CHOICE,3.71,2018-12-03 05:45
1,26,NO CHOICE,3.59,2018-12-03 05:49
1,bad bee,NO CHOICE,4.84,2018-12-03 06:30
1,another,NO CHOICE,4.52,2018-12-03 06:31
1,21,NO CHOICE,4.18,2018-12-04 12:19
